name,path,sha,size,url,html_url,git_url,download_url,type,City,topic
 Dive into dplyr, Dive into dplyr,413bb3a624eee9976c57a72cebffedb2fc8c7f6e,0,https://api.github.com/repos/rladies/meetup-presentations_london/contents/2018-03_Dive_into_dplyr?ref=master,https://github.com/rladies/meetup-presentations_london/tree/master/2018-03_Dive_into_dplyr,https://api.github.com/repos/rladies/meetup-presentations_london/git/trees/413bb3a624eee9976c57a72cebffedb2fc8c7f6e,NA,dir,London,dplyr
 Shiny Dashboard Workshop, Shiny Dashboard Workshop,4b17e1e9a96d2fa3364310ea7faa68eb5ae1dac4,0,https://api.github.com/repos/rladies/meetup-presentations_london/contents/2018-07_Shiny_Dashboard_Workshop?ref=master,https://github.com/rladies/meetup-presentations_london/tree/master/2018-07_Shiny_Dashboard_Workshop,https://api.github.com/repos/rladies/meetup-presentations_london/git/trees/4b17e1e9a96d2fa3364310ea7faa68eb5ae1dac4,NA,dir,London,shiny
  IntroR RStudio,  IntroR RStudio,f0fb8ec3c46a0b3c9bb0ac391b2fa435d1d70817,0,https://api.github.com/repos/rladies/meetup-presentations_london_ontario/contents/2017-10-03_Intro2R-RStudio?ref=master,https://github.com/rladies/meetup-presentations_london_ontario/tree/master/2017-10-03_Intro2R-RStudio,https://api.github.com/repos/rladies/meetup-presentations_london_ontario/git/trees/f0fb8ec3c46a0b3c9bb0ac391b2fa435d1d70817,NA,dir,London_ontario,RStudio
  rmarkdown,  rmarkdown,853042d09f52cb2a4f6323404cd22e8c898e5aa3,0,https://api.github.com/repos/rladies/meetup-presentations_london_ontario/contents/2018-03-06_rmarkdown?ref=master,https://github.com/rladies/meetup-presentations_london_ontario/tree/master/2018-03-06_rmarkdown,https://api.github.com/repos/rladies/meetup-presentations_london_ontario/git/trees/853042d09f52cb2a4f6323404cd22e8c898e5aa3,NA,dir,London_ontario,rmarkdown
  Shiny,  Shiny,0b1f58b73641efabf92ffd33e33518906076ff3d,0,https://api.github.com/repos/rladies/meetup-presentations_london_ontario/contents/2018-04-03_Shiny?ref=master,https://github.com/rladies/meetup-presentations_london_ontario/tree/master/2018-04-03_Shiny,https://api.github.com/repos/rladies/meetup-presentations_london_ontario/git/trees/0b1f58b73641efabf92ffd33e33518906076ff3d,NA,dir,London_ontario,shiny
  IntroR RStudio,  IntroR RStudio,663abf853de59fc15a25b47f01122c7d421b1ed5,0,https://api.github.com/repos/rladies/meetup-presentations_london_ontario/contents/2018-09-25_Intro2R-RStudio?ref=master,https://github.com/rladies/meetup-presentations_london_ontario/tree/master/2018-09-25_Intro2R-RStudio,https://api.github.com/repos/rladies/meetup-presentations_london_ontario/git/trees/663abf853de59fc15a25b47f01122c7d421b1ed5,NA,dir,London_ontario,RStudio
  ggplot,  ggplot,7cd79998b88cc8a2d1ca061df2851cabe867d836,0,https://api.github.com/repos/rladies/meetup-presentations_london_ontario/contents/2018-10-25_ggplot?ref=master,https://github.com/rladies/meetup-presentations_london_ontario/tree/master/2018-10-25_ggplot,https://api.github.com/repos/rladies/meetup-presentations_london_ontario/git/trees/7cd79998b88cc8a2d1ca061df2851cabe867d836,NA,dir,London_ontario,ggplot
  ggmap,  ggmap,048bee9fbc03a0c5f808acc986281521122c4394,0,https://api.github.com/repos/rladies/meetup-presentations_london_ontario/contents/2019-03-28_ggmap?ref=master,https://github.com/rladies/meetup-presentations_london_ontario/tree/master/2019-03-28_ggmap,https://api.github.com/repos/rladies/meetup-presentations_london_ontario/git/trees/048bee9fbc03a0c5f808acc986281521122c4394,NA,dir,London_ontario,spatial
  IntroR RStudio,  IntroR RStudio,94e138d35b2aa488aeab41882484982949466a28,0,https://api.github.com/repos/rladies/meetup-presentations_london_ontario/contents/2019-10-01_Intro2R-RStudio?ref=master,https://github.com/rladies/meetup-presentations_london_ontario/tree/master/2019-10-01_Intro2R-RStudio,https://api.github.com/repos/rladies/meetup-presentations_london_ontario/git/trees/94e138d35b2aa488aeab41882484982949466a28,NA,dir,London_ontario,RStudio
  rmarkdown,  rmarkdown,9ecbd667f9c37200bf1c1d2638f408189e4d8e2a,0,https://api.github.com/repos/rladies/meetup-presentations_london_ontario/contents/2020-01-14_rmarkdown?ref=master,https://github.com/rladies/meetup-presentations_london_ontario/tree/master/2020-01-14_rmarkdown,https://api.github.com/repos/rladies/meetup-presentations_london_ontario/git/trees/9ecbd667f9c37200bf1c1d2638f408189e4d8e2a,NA,dir,London_ontario,rmarkdown
  shiny,  shiny,94d31c9ee2db667c06018f3b017fef4f6b6726d7,0,https://api.github.com/repos/rladies/meetup-presentations_london_ontario/contents/2020-02-11_shiny?ref=master,https://github.com/rladies/meetup-presentations_london_ontario/tree/master/2020-02-11_shiny,https://api.github.com/repos/rladies/meetup-presentations_london_ontario/git/trees/94d31c9ee2db667c06018f3b017fef4f6b6726d7,NA,dir,London_ontario,shiny
introduction R   ,introduction R   ,c6ad2a253a44f861221c3deb6894fdd1e780b08e,0,https://api.github.com/repos/rladies/meetup-presentations_loughborough/contents/introduction_R_22-04-18?ref=master,https://github.com/rladies/meetup-presentations_loughborough/tree/master/introduction_R_22-04-18,https://api.github.com/repos/rladies/meetup-presentations_loughborough/git/trees/c6ad2a253a44f861221c3deb6894fdd1e780b08e,NA,dir,Loughborough,Intro
