name,path,sha,size,url,html_url,git_url,download_url,type,repo
2017_03_09_8_Linear_Regression,2017_03_09_8_Linear_Regression,1c918267d9185c3c72bca7e4bbcf8c2a608b20f6,0,https://api.github.com/repos/rladies/meetup-presentations_tbilisi/contents/2017_03_09_8_Linear_Regression?ref=master,https://github.com/rladies/meetup-presentations_tbilisi/tree/master/2017_03_09_8_Linear_Regression,https://api.github.com/repos/rladies/meetup-presentations_tbilisi/git/trees/1c918267d9185c3c72bca7e4bbcf8c2a608b20f6,NA,dir,meetup-presentations_tbilisi
2017_03_14_9_Plotting,2017_03_14_9_Plotting,a7e271cd2410404dcbf491dddbf8acb6d3b2f8af,0,https://api.github.com/repos/rladies/meetup-presentations_tbilisi/contents/2017_03_14_9_Plotting?ref=master,https://github.com/rladies/meetup-presentations_tbilisi/tree/master/2017_03_14_9_Plotting,https://api.github.com/repos/rladies/meetup-presentations_tbilisi/git/trees/a7e271cd2410404dcbf491dddbf8acb6d3b2f8af,NA,dir,meetup-presentations_tbilisi
2017_03_16_10_Mapping_Georgia,2017_03_16_10_Mapping_Georgia,f4c2304dab3ee20261abf640127360e33d7d70e2,0,https://api.github.com/repos/rladies/meetup-presentations_tbilisi/contents/2017_03_16_10_Mapping_Georgia?ref=master,https://github.com/rladies/meetup-presentations_tbilisi/tree/master/2017_03_16_10_Mapping_Georgia,https://api.github.com/repos/rladies/meetup-presentations_tbilisi/git/trees/f4c2304dab3ee20261abf640127360e33d7d70e2,NA,dir,meetup-presentations_tbilisi
2017_04_06_Beginners,2017_04_06_Beginners,b9b69b4c31a5756666bbdba6040392e4b9084df2,0,https://api.github.com/repos/rladies/meetup-presentations_tbilisi/contents/2017_04_06_Beginners?ref=master,https://github.com/rladies/meetup-presentations_tbilisi/tree/master/2017_04_06_Beginners,https://api.github.com/repos/rladies/meetup-presentations_tbilisi/git/trees/b9b69b4c31a5756666bbdba6040392e4b9084df2,NA,dir,meetup-presentations_tbilisi
2017_04_10_Creating - exploring data,2017_04_10_Creating - exploring data,cf9e0dd7dfaabb7e728774ce5a4709448e61f362,0,https://api.github.com/repos/rladies/meetup-presentations_tbilisi/contents/2017_04_10_Creating%20-%20exploring%20data?ref=master,https://github.com/rladies/meetup-presentations_tbilisi/tree/master/2017_04_10_Creating%20-%20exploring%20data,https://api.github.com/repos/rladies/meetup-presentations_tbilisi/git/trees/cf9e0dd7dfaabb7e728774ce5a4709448e61f362,NA,dir,meetup-presentations_tbilisi
2017_04_11_Data_manipulation,2017_04_11_Data_manipulation,206e9d992264ec27c316f1d9f337596cc5bcc392,0,https://api.github.com/repos/rladies/meetup-presentations_tbilisi/contents/2017_04_11_Data_manipulation?ref=master,https://github.com/rladies/meetup-presentations_tbilisi/tree/master/2017_04_11_Data_manipulation,https://api.github.com/repos/rladies/meetup-presentations_tbilisi/git/trees/206e9d992264ec27c316f1d9f337596cc5bcc392,NA,dir,meetup-presentations_tbilisi
2017_04_12_shiny,2017_04_12_shiny,0731cb9713b887ae1209bdecd7d93ae2f04945cd,0,https://api.github.com/repos/rladies/meetup-presentations_tbilisi/contents/2017_04_12_shiny?ref=master,https://github.com/rladies/meetup-presentations_tbilisi/tree/master/2017_04_12_shiny,https://api.github.com/repos/rladies/meetup-presentations_tbilisi/git/trees/0731cb9713b887ae1209bdecd7d93ae2f04945cd,NA,dir,meetup-presentations_tbilisi
2017_05_16_Regressions,2017_05_16_Regressions,d20d5131c107f3b9df5db446e9c1647e5495edde,0,https://api.github.com/repos/rladies/meetup-presentations_tbilisi/contents/2017_05_16_Regressions?ref=master,https://github.com/rladies/meetup-presentations_tbilisi/tree/master/2017_05_16_Regressions,https://api.github.com/repos/rladies/meetup-presentations_tbilisi/git/trees/d20d5131c107f3b9df5db446e9c1647e5495edde,NA,dir,meetup-presentations_tbilisi
2017_05_16_whyr,2017_05_16_whyr,16f5401d9b4e70f5f6311a3435fb28f0ef767c06,0,https://api.github.com/repos/rladies/meetup-presentations_tbilisi/contents/2017_05_16_whyr?ref=master,https://github.com/rladies/meetup-presentations_tbilisi/tree/master/2017_05_16_whyr,https://api.github.com/repos/rladies/meetup-presentations_tbilisi/git/trees/16f5401d9b4e70f5f6311a3435fb28f0ef767c06,NA,dir,meetup-presentations_tbilisi
2017_05_22_looping,2017_05_22_looping,118f32f8d9465e13a13be54d5b7fa9e67e3aa53e,0,https://api.github.com/repos/rladies/meetup-presentations_tbilisi/contents/2017_05_22_looping?ref=master,https://github.com/rladies/meetup-presentations_tbilisi/tree/master/2017_05_22_looping,https://api.github.com/repos/rladies/meetup-presentations_tbilisi/git/trees/118f32f8d9465e13a13be54d5b7fa9e67e3aa53e,NA,dir,meetup-presentations_tbilisi
2017_05_24_Scraping,2017_05_24_Scraping,38326f057bc8ec8bb8ef62658dcfd58a251a0815,0,https://api.github.com/repos/rladies/meetup-presentations_tbilisi/contents/2017_05_24_Scraping?ref=master,https://github.com/rladies/meetup-presentations_tbilisi/tree/master/2017_05_24_Scraping,https://api.github.com/repos/rladies/meetup-presentations_tbilisi/git/trees/38326f057bc8ec8bb8ef62658dcfd58a251a0815,NA,dir,meetup-presentations_tbilisi
