City,html_url,topic,language
Madrid,https://github.com/rladies/meetup-presentations_madrid/tree/master/madrid_20170225_r-finance,rfinance,Spanish
Sydney,https://rladiessydney.org/courses/ryouwithme/,Introduction,English
Barcelona,https://github.com/rladies/meetup-presentations_barcelona/tree/master/20170927_ggplot2,ggplot,Spanish
Columbus,https://github.com/rladies/meetup-presentations_columbus/tree/master/20190314_ggplot2Vol2,ggplot,English
Frankfurt,https://github.com/rladies/meetup-presentations_frankfurt/tree/master/2019-06-19_meetup03_data-visualization-ggplot2,ggplot,English
Helsinki,https://github.com/rladies/meetup-presentations_helsinki/blob/master/ggplot2,ggplot,English
Irvine,https://github.com/rladies/meetup-presentations_irvine/tree/master/R-LadiesIrvine_ggplot2_06272018,ggplot,English
Istanbul,https://github.com/rladies/meetup-presentations_istanbul/blob/master/20181222_ggplot2.R,ggplot,English
LA,https://github.com/rladies/meetup-presentations_la/tree/master/2017-04-16-ggplot2,ggplot,English
London_ontario,https://github.com/rladies/meetup-presentations_london_ontario/tree/master/2018-10-25_ggplot,ggplot,English
Montevideo,https://github.com/rladies/meetup-presentations_montevideo/tree/master/2017-11-15-ggplot2,ggplot,Spanish
Montreal,https://github.com/rladies/meetup-presentations_montreal/tree/master/20180419_ggplot,ggplot,English
RTP,https://github.com/rladies/meetup-presentations_rtp/tree/master/2016-10-15-data-viz-ggplot2,ggplot,English
RTP,https://github.com/rladies/meetup-presentations_rtp/tree/master/2019-03-06-ggplot2,ggplot,English
Sarasota,https://github.com/rladies/meetup-presentations_sarasota/tree/master/2018_03_26_Data_Viz_ggplot2,ggplot,English
Stockholm,https://github.com/rladies/meetup-presentations_stockholm/blob/master/Ggplot2.zip,ggplot,English
Baltimore,https://github.com/rladies/meetup-presentations_baltimore/blob/master/20200129_shiny.md,shiny,English
Berlin,https://github.com/rladies/meetup-presentations_berlin/tree/master/2017-11_ShinyDashboards,shiny,English
Brussels,https://github.com/rladies/meetup-presentations_brussels/tree/master/01_Building_Shiny_apps_Dec17,shiny,English
Buenosaires,https://github.com/rladies/meetup-presentations_buenosaires/tree/master/2017-08-05%20-%20Cuarto%20evento%20-%20Intro%20a%20Shiny,shiny,Spanish
